asset_id,asset_name,asset_type,owner,primary_use,contains_confidential_data,access_model,api_or_export,quality_score_10,version_control,retention_known,AI_use_status,key_issue
ASSET-001,Mid-market ERP,application,IT_manager,orders_inventory_pricing_and_quotations,yes,role_based_but_broad,scheduled_exports_and_limited_API,6.2,application_controlled,partially_known,not_approved_for_direct_model_access,Limited API and incomplete customer pricing workflow
ASSET-002,Microsoft 365,platform,IT_manager,email_documents_and_collaboration,yes,named_accounts_with_shared_mailboxes,standard_connectors,7.0,partial,known,unapproved_public_AI_use_detected,Shared mailboxes and no approved AI policy
ASSET-003,Product master,data_domain,product_data_owner,item_attributes_and_compatibility,yes,ERP_roles,CSV_export,4.7,partial,known,candidate_for_controlled_retrieval,Nine percent suspected duplicate records and missing attributes
ASSET-004,Product document library,document_repository,product_data_owner,technical_sheets_drawings_and_certificates,yes,shared_folder,filesystem_export,5.1,weak,partially_known,candidate_after_source_registry,Old and duplicate files with inconsistent approval state
ASSET-005,Customer pricing tables,data_domain,CFO,customer_specific_price_and_discount,yes,mixed_ERP_and_spreadsheets,limited_export,5.6,weak,known,restricted,Delegated authority and current price source not always clear
ASSET-006,Prior quotation archive,document_and_data,Sales_operations,quotation_reuse_and_history,yes,shared_folders_and_ERP,CSV_and_document_export,6.0,partial,known,candidate_for_retrieval_with_filters,Old price or terms may be inappropriate for reuse
ASSET-007,Customer service ticket store,application,Customer_service_manager,case_tracking,yes,team_access,CSV_export,5.3,application_controlled,known,candidate_for_analysis,Resolution codes missing for twenty-eight percent
ASSET-008,Inventory history,data_domain,Operations_director,demand_replenishment_and_stock,yes,ERP_roles,CSV_export,4.1,application_controlled,known,prepare_only,Project demand substitutions and lost sales not labelled
ASSET-009,Security policy,policy_document,IT_manager,information_security,yes,shared_folder,document_export,4.0,weak,known,requires_update,Predates generative AI and model-provider data use
ASSET-010,Public generative AI accounts,external_service,individual_employees,email_and_document_help,unknown,personal_or_free_accounts,none,1.0,unknown,unknown,prohibited_for_confidential_data,No central inventory logging or contractual control
ASSET-011,Identity directory,security_service,IT_manager,user_access,yes,named_accounts,standard_admin_export,6.3,application_controlled,known,required_foundation,Shared mailboxes and incomplete role review
ASSET-012,Proposed controlled AI environment,planned_platform,unassigned,approved_pilot_services,yes,to_be_designed,to_be_selected,0.0,to_be_designed,to_be_defined,required_foundation,Provider region retention training and access conditions unresolved
