risk_id,risk_domain,risk_statement,inherent_severity,existing_control,control_design_status,operating_evidence,residual_severity,required_pilot_control,decision_owner
RISK-001,data_confidentiality,Customer pricing contracts or drawings may be exposed to an unapproved model,critical,General information security policy,weak,None,critical,Approved enterprise environment data classification access boundaries and logging,CEO_and_IT_manager
RISK-002,technical_accuracy,Generated product compatibility guidance may be wrong or incomplete,critical,Product specialist review for complex quotations,partial,Manual approval history only,high,Restrict pilot to retrieval and drafting with source display confidence flags and mandatory specialist approval,Product_specialist
RISK-003,pricing_authority,Generated price or discount may bypass delegated authority,high,Discount matrix and manager approval,partial,Approval evidence inconsistent,high,No autonomous pricing decision and deterministic approval routing,CFO
RISK-004,external_communication,Incorrect or unauthorised output may be sent to a customer,high,Manual quotation release,adequate,Existing workflow logs,medium,Human release remains mandatory and external sending disabled in pilot,Sales_director
RISK-005,identity_access,Shared accounts may prevent attribution and least privilege,high,Microsoft accounts and shared mailboxes,weak,No complete access review,high,Named accounts role-based access and periodic review,IT_manager
RISK-006,source_staleness,Old product sheets or prior quotations may be retrieved,high,Shared folders and informal review,weak,No systematic version evidence,high,Approved-source registry version metadata expiry and owner,Product_data_owner
RISK-007,workforce_trust,Employees may resist or misuse the pilot due to job-loss concern,medium,General communication and survey,partial,Survey results only,medium,Transparent role design training feedback and no individual performance use without policy,HR_manager
RISK-008,automation_bias,Users may accept plausible output without verification,high,Professional experience,weak,No AI-specific competency evidence,high,Source-linked output verification training and sampled review,Sales_operations_manager
RISK-009,vendor_lock_in,Pilot design may become dependent on one provider or proprietary workflow,medium,Standard procurement review,partial,No exit test,medium,Provider abstraction export rights and documented replacement path,IT_manager
RISK-010,value_overstatement,Capacity and potential margin may be represented as cash benefit,high,Finance review,partial,Initial case mixes classifications,high,Separate value classes observed-use metrics and approved benefit verification,CFO
RISK-011,service_continuity,Pilot may slow quotation or customer service during deployment,medium,Manual fallback available,adequate,Existing process remains available,low,Phased cohort fallback and stop threshold,Operations_director
RISK-012,prompt_injection,Retrieved documents or messages may instruct the agent to leak or alter behaviour,high,None,absent,None,high,Untrusted-input isolation content filtering tool policy and adversarial testing,IT_manager
